logt,a94,a131,a171,a211,a304,a335
4,-7.51E-38,4.28E-39,4.90E-32,5.46E-32,3.04E-32,8.82E-33
4.05,-7.54E-37,6.32E-38,3.78E-31,4.20E-31,2.34E-31,6.77E-32
4.1,-6.00E-36,6.99E-37,2.28E-30,2.52E-30,1.40E-30,4.04E-31
4.15,-3.54E-35,5.47E-36,9.90E-30,1.09E-29,6.07E-30,1.75E-30
4.2,-1.40E-34,2.75E-35,2.70E-29,2.97E-29,1.65E-29,4.74E-30
4.25,-4.08E-34,9.47E-35,4.58E-29,5.02E-29,2.79E-29,8.03E-30
4.3,-1.13E-33,2.84E-34,6.05E-29,6.59E-29,3.69E-29,1.07E-29
4.35,-3.19E-33,8.28E-34,7.70E-29,8.32E-29,4.75E-29,1.40E-29
4.4,-8.04E-33,2.18E-33,1.06E-28,1.14E-28,6.68E-29,2.03E-29
4.45,-1.50E-32,4.33E-33,1.53E-28,1.62E-28,9.69E-29,3.00E-29
4.5,-1.89E-32,5.97E-33,2.05E-28,2.18E-28,1.29E-28,3.99E-29
4.55,-1.91E-32,6.78E-33,2.79E-28,2.97E-28,1.72E-28,5.22E-29
4.6,-2.01E-32,8.08E-33,4.16E-28,4.44E-28,2.52E-28,7.62E-29
4.65,-2.59E-32,1.15E-32,6.73E-28,7.18E-28,4.05E-28,1.25E-28
4.7,-4.12E-32,2.24E-32,1.13E-27,1.20E-27,6.86E-28,2.17E-28
4.75,-7.40E-32,7.53E-32,1.87E-27,2.00E-27,1.18E-27,3.84E-28
4.8,-1.36E-31,3.88E-31,2.99E-27,3.24E-27,1.99E-27,6.59E-28
4.85,-2.25E-31,1.88E-30,4.50E-27,5.01E-27,3.22E-27,1.04E-27
4.9,-3.06E-31,6.49E-30,6.13E-27,7.06E-27,4.62E-27,1.40E-27
4.95,-3.46E-31,1.55E-29,7.60E-27,8.95E-27,5.81E-27,1.64E-27
5,-3.68E-31,2.84E-29,8.92E-27,1.07E-26,6.83E-27,1.82E-27
5.05,-3.91E-31,4.48E-29,1.02E-26,1.26E-26,8.03E-27,2.00E-27
5.1,-3.98E-31,6.39E-29,1.17E-26,1.52E-26,9.73E-27,2.22E-27
5.15,-3.31E-31,8.52E-29,1.38E-26,1.93E-26,1.21E-26,2.48E-27
5.2,-1.03E-31,1.10E-28,1.71E-26,2.63E-26,1.52E-26,2.74E-27
5.25,3.76E-31,1.49E-28,2.25E-26,3.84E-26,1.87E-26,2.93E-27
5.3,1.24E-30,2.54E-28,3.13E-26,5.73E-26,2.19E-26,3.02E-27
5.35,3.01E-30,6.50E-28,4.36E-26,8.22E-26,2.44E-26,3.03E-27
5.4,7.67E-30,1.98E-27,5.61E-26,1.05E-25,2.51E-26,2.83E-27
5.45,2.03E-29,5.25E-27,6.04E-26,1.08E-25,2.24E-26,2.20E-27
5.5,4.82E-29,1.09E-26,5.50E-26,9.24E-26,1.76E-26,1.38E-27
5.55,9.81E-29,1.83E-26,5.86E-26,8.29E-26,1.47E-26,8.73E-28
5.6,1.75E-28,2.65E-26,9.24E-26,8.69E-26,1.40E-26,7.05E-28
5.65,2.81E-28,3.42E-26,1.74E-25,9.72E-26,1.44E-26,6.95E-28
5.7,4.17E-28,4.00E-26,3.21E-25,1.08E-25,1.52E-26,7.52E-28
5.75,5.82E-28,4.24E-26,5.39E-25,1.18E-25,1.66E-26,8.52E-28
5.8,7.73E-28,4.08E-26,8.11E-25,1.26E-25,1.86E-26,9.84E-28
5.85,9.74E-28,3.59E-26,1.08E-24,1.34E-25,2.09E-26,1.14E-27
5.9,1.16E-27,2.88E-26,1.28E-24,1.45E-25,2.33E-26,1.30E-27
5.95,1.28E-27,2.09E-26,1.32E-24,1.66E-25,2.55E-26,1.41E-27
6,1.36E-27,1.37E-26,1.17E-24,2.13E-25,2.77E-26,1.44E-27
6.05,1.45E-27,8.21E-27,8.80E-25,3.05E-25,3.21E-26,1.42E-27
6.1,1.66E-27,4.77E-27,5.43E-25,4.41E-25,4.34E-26,1.36E-27
6.15,1.92E-27,2.89E-27,2.70E-25,5.63E-25,6.81E-26,1.24E-27
6.2,1.98E-27,1.91E-27,1.09E-25,5.66E-25,1.08E-25,1.16E-27
6.25,1.64E-27,1.36E-27,4.19E-26,4.13E-25,1.44E-25,1.33E-27
6.3,1.05E-27,1.03E-27,2.60E-26,2.06E-25,1.37E-25,1.77E-27
6.35,5.48E-28,8.27E-28,2.53E-26,7.35E-26,8.95E-26,2.19E-27
6.4,2.85E-28,6.97E-28,2.05E-26,2.49E-26,4.53E-26,2.30E-27
6.45,2.07E-28,6.13E-28,1.06E-26,1.14E-26,2.09E-26,2.14E-27
6.5,2.46E-28,5.52E-28,4.06E-27,7.71E-27,9.80E-27,1.86E-27
6.55,3.80E-28,5.01E-28,1.86E-27,6.64E-27,5.16E-27,1.55E-27
6.6,6.07E-28,4.57E-28,1.38E-27,6.22E-27,3.37E-27,1.25E-27
6.65,9.29E-28,4.25E-28,1.26E-27,6.31E-27,2.74E-27,9.77E-28
6.7,1.33E-27,4.18E-28,1.08E-27,6.86E-27,2.35E-27,7.35E-28
6.75,1.77E-27,4.71E-28,8.37E-28,6.94E-27,1.84E-27,5.29E-28
6.8,2.15E-27,6.87E-28,6.40E-28,5.90E-27,1.29E-27,3.59E-28
6.85,2.35E-27,1.32E-27,5.30E-28,4.37E-27,8.88E-28,2.27E-28
6.9,2.26E-27,2.82E-27,4.89E-28,3.06E-27,6.35E-28,1.32E-28
6.95,1.87E-27,5.55E-27,4.88E-28,2.30E-27,4.80E-28,7.20E-29
7,1.29E-27,8.95E-27,4.92E-28,2.42E-27,3.88E-28,3.88E-29
7.05,7.18E-28,1.11E-26,4.68E-28,4.32E-27,3.41E-28,2.28E-29
7.1,3.25E-28,1.02E-26,4.18E-28,8.63E-27,3.24E-28,1.50E-29
7.15,1.27E-28,7.18E-27,3.67E-28,1.39E-26,3.17E-28,1.06E-29
7.2,5.17E-29,4.19E-27,3.29E-28,1.76E-26,3.09E-28,8.06E-30
7.25,2.71E-29,2.28E-27,3.03E-28,1.87E-26,2.96E-28,6.62E-30
7.3,1.95E-29,1.26E-27,2.84E-28,1.79E-26,2.80E-28,5.82E-30
7.35,1.70E-29,7.63E-28,2.68E-28,1.62E-26,2.64E-28,5.32E-30
7.4,1.59E-29,5.09E-28,2.54E-28,1.42E-26,2.48E-28,4.97E-30
7.45,1.53E-29,3.75E-28,2.41E-28,1.22E-26,2.34E-28,4.69E-30
7.5,1.48E-29,2.98E-28,2.30E-28,1.04E-26,2.21E-28,4.45E-30
7.55,1.44E-29,2.51E-28,2.20E-28,8.70E-27,2.08E-28,4.24E-30
7.6,1.39E-29,2.20E-28,2.11E-28,7.22E-27,1.97E-28,4.05E-30
7.65,1.35E-29,1.98E-28,2.02E-28,5.91E-27,1.86E-28,3.87E-30
7.7,1.31E-29,1.82E-28,1.94E-28,4.75E-27,1.77E-28,3.72E-30
7.75,1.27E-29,1.70E-28,1.86E-28,3.74E-27,1.67E-28,3.57E-30
7.8,1.23E-29,1.60E-28,1.79E-28,2.89E-27,1.59E-28,3.43E-30
7.85,1.20E-29,1.52E-28,1.72E-28,2.18E-27,1.51E-28,3.30E-30
7.9,1.16E-29,1.46E-28,1.65E-28,1.61E-27,1.44E-28,3.17E-30
7.95,1.12E-29,1.40E-28,1.59E-28,1.18E-27,1.38E-28,3.05E-30
8,1.08E-29,1.34E-28,1.53E-28,8.59E-28,1.32E-28,2.93E-30
8.05,1.05E-29,1.29E-28,1.47E-28,6.34E-28,1.27E-28,2.82E-30
8.1,1.01E-29,1.24E-28,1.42E-28,4.80E-28,1.22E-28,2.71E-30
8.15,9.80E-30,1.20E-28,1.37E-28,3.78E-28,1.17E-28,2.61E-30
8.2,9.46E-30,1.16E-28,1.31E-28,3.10E-28,1.13E-28,2.51E-30
8.25,9.14E-30,1.12E-28,1.27E-28,2.65E-28,1.09E-28,2.41E-30
8.3,8.82E-30,1.07E-28,1.22E-28,2.35E-28,1.04E-28,2.32E-30
8.35,8.51E-30,1.04E-28,1.17E-28,2.14E-28,1.00E-28,2.23E-30
8.4,8.21E-30,9.98E-29,1.13E-28,1.98E-28,9.67E-29,2.14E-30
8.45,7.92E-30,9.62E-29,1.09E-28,1.86E-28,9.30E-29,2.06E-30
8.5,7.64E-30,9.27E-29,1.05E-28,1.76E-28,8.95E-29,1.98E-30
8.55,7.23E-30,8.77E-29,9.90E-29,1.65E-28,8.45E-29,1.87E-30
8.6,6.96E-30,8.42E-29,9.51E-29,1.57E-28,8.11E-29,1.79E-30
8.65,6.69E-30,8.09E-29,9.12E-29,1.50E-28,7.78E-29,1.71E-30
8.7,6.43E-30,7.77E-29,8.76E-29,1.44E-28,7.47E-29,1.64E-30
8.75,6.18E-30,7.46E-29,8.40E-29,1.38E-28,7.16E-29,1.57E-30
8.8,5.93E-30,7.16E-29,8.06E-29,1.32E-28,6.87E-29,1.51E-30
8.85,5.70E-30,6.87E-29,7.73E-29,1.26E-28,6.58E-29,1.44E-30
8.9,5.47E-30,6.59E-29,7.41E-29,1.21E-28,6.31E-29,1.38E-30
8.95,5.25E-30,6.32E-29,7.10E-29,1.16E-28,6.04E-29,1.32E-30
9,5.04E-30,6.06E-29,6.80E-29,1.11E-28,5.79E-29,1.27E-30
